User Input,Mapped Gene Symbol,Num of Expt. (found/total),Ave SC,Max SC
O95983,MBD3,133 / 716,3.8,31
Q9NX58,LYAR,94 / 716,2.1,10
O43251,RBFOX2,43 / 716,1.5,5
Q9H9Y6,POLR1B,23 / 716,4.2,18
Q9UNP9,PPIE,25 / 716,1.6,5
P29372,MPG,37 / 716,2.2,12
Q9NQG5,RPRD1B,108 / 716,3.2,17
P37198,NUP62,118 / 716,1.8,7
Q14241,ELOA,122 / 716,6.3,64
P55196,AFDN,116 / 716,33.5,128
Q15020,SART3,198 / 716,14.6,70
P52434,POLR2H,196 / 716,1.8,13
Q8IWS0,PHF6,156 / 716,1.8,8
O43159,RRP8,50 / 716,1.5,4
Q9NPA8,ENY2,84 / 716,2.2,6
Q8NFH3,NUP43,37 / 716,1.8,7
Q9BY44,EIF2A,90 / 716,4.3,18
Q15427,SF3B4,198 / 716,2.9,13
Q6STE5,SMARCD3,29 / 716,1.5,4
Q96GM5,SMARCD1,60 / 716,2.3,8
Q12888,TP53BP1,146 / 716,13.5,124
Q9NY61,AATF,39 / 716,2.1,12
Q9Y3C1,NOP16,57 / 716,3.1,8
Q9NW64,RBM22,45 / 716,3.4,17
P49915,GMPS,229 / 716,5.2,29
O60828,PQBP1,67 / 716,2.9,13
Q14126,DSG2,113 / 716,10.8,62
P01619,IGKV3-20,1 / 716,1,1
P13804,ETFA,148 / 716,5.8,36
O15523,DDX3Y,480 / 716,9.8,66
Q13492,PICALM,78 / 716,2.1,31
Q9NV06,DCAF13,7 / 716,2.4,7
Q7L1Q6,BZW1,35 / 716,2,11
O94973,AP2A2,80 / 716,1.5,10
Q96QC0,PPP1R10,158 / 716,23.8,90
P19784,CSNK2A2,74 / 716,2.1,12
Q8NEV1,CSNK2A3,149 / 716,3.6,25
P68400,CSNK2A1,150 / 716,3.7,25
O14646,CHD1,94 / 716,7.3,57
Q99549,MPHOSPH8,22 / 716,2.1,6
Q14315,FLNC,373 / 716,14.7,154
Q9H2P0,ADNP,139 / 716,26.2,131
Q9BZK7,TBL1XR1,45 / 716,1.2,2
O95758,PTBP3,182 / 716,2.4,10
O60231,DHX16,112 / 716,2.3,13
Q9UMY1,NOL7,42 / 716,2.1,6
Q9Y3A2,UTP11,2 / 716,1.5,2
O60306,AQR,52 / 716,7.9,37
O75683,SURF6,114 / 716,5.6,27
Q04760,GLO1,130 / 716,4.5,26
Q9Y3E1,HDGFL3,93 / 716,1.8,5
P82970,HMGN5,32 / 716,1.8,5
Q99439,CNN2,164 / 716,2.6,13
P12235,SLC25A4,478 / 716,7.5,48
Q12789,GTF3C1,134 / 716,6.7,49
Q15007,WTAP,77 / 716,2.3,17
Q9BTC0,DIDO1,140 / 716,27.2,184
Q9Y4Z0,LSM4,139 / 716,3.3,17
P27695,APEX1,109 / 716,3.2,12
Q86X83,COMMD2,9 / 716,1.3,3
P24941,CDK2,234 / 716,2.4,13
Q9NYV4,CDK12,199 / 716,4.4,27
Q14004,CDK13,193 / 716,3.1,25
O95478,NSA2,36 / 716,1.5,6
P56182,RRP1,92 / 716,1.7,7
P53350,PLK1,54 / 716,1.4,3
Q96QD9,FYTTD1,24 / 716,2.1,8
Q8N1G0,ZNF687,82 / 716,2.9,10
Q5VZL5,ZMYM4,93 / 716,6,20
Q14240,EIF4A2,461 / 716,7.4,37
P35241,RDX,225 / 716,4.5,50
Q9UBB9,TFIP11,129 / 716,12,53
Q969V3,NCLN,41 / 716,1.8,6
Q96T58,SPEN,101 / 716,24.3,73
Q5SRE5,NUP188,52 / 716,1.8,9
Q04917,YWHAH,313 / 716,4.2,29
P08579,SNRPB2,214 / 716,3.6,36
Q9BRL6,SRSF8,204 / 716,2.2,8
Q14966,ZNF638,152 / 716,11.8,105
Q92879,CELF1,26 / 716,1.3,3
P49750,YLPM1,162 / 716,16.7,100
Q68CQ4,DIEXF,1 / 716,1,1
P54886,ALDH18A1,292 / 716,11.2,57
Q9BZJ0,CRNKL1,92 / 716,3.9,29
P07237,P4HB,247 / 716,13.1,85
Q86VM9,ZC3H18,123 / 716,5.1,33
Q96KM6,ZNF512B,71 / 716,3.4,14
Q14141,SEPT6,120 / 716,2.3,7
O75477,ERLIN1,81 / 716,1.7,9
Q9NPD3,EXOSC4,124 / 716,2.7,16
Q53F19,NCBP3,81 / 716,2.3,18
P51116,FXR2,139 / 716,3.7,47
P53990,IST1,8 / 716,1.3,2
Q9H0H5,RACGAP1,72 / 716,4.4,35
P10398,ARAF,42 / 716,1.2,3
Q92804,TAF15,383 / 716,6.1,41
Q9Y2K7,KDM2A,24 / 716,3.5,13
P28070,PSMB4,149 / 716,3.5,17
P42696,RBM34,87 / 716,2.4,13
Q8IZH2,XRN1,105 / 716,16.3,49
O14497,ARID1A,129 / 716,7.7,51
P62820,RAB1A,195 / 716,4,20
O60885,BRD4,128 / 716,21,95
P51153,RAB13,128 / 716,2,8
Q13427,PPIG,86 / 716,4.1,20
Q9HCS7,XAB2,140 / 716,18,122
P24468,NR2F2,4 / 716,2.5,7
Q9H5H4,ZNF768,22 / 716,1.2,4
P35612,ADD2,44 / 716,1.2,7
Q9P0K7,RAI14,121 / 716,18.6,100
Q86UE4,MTDH,179 / 716,5.7,20
Q13610,PWP1,64 / 716,2.7,7
Q8N9T8,KRI1,131 / 716,2.3,18
Q5SY16,NOL9,78 / 716,2.6,10
Q15024,EXOSC7,84 / 716,2.1,10
Q13547,HDAC1,306 / 716,4.5,45
Q9UPN9,TRIM33,69 / 716,2.2,6
Q14807,KIF22,65 / 716,1.8,9
Q96SB4,SRPK1,157 / 716,2.8,13
Q96RN5,MED15,11 / 716,1.1,2
Q13418,ILK,10 / 716,1.1,2
Q9BWE0,REPIN1,2 / 716,1,1
Q96T23,RSF1,89 / 716,6.4,45
P31483,TIA1,83 / 716,5.5,16
Q9P013,CWC15,151 / 716,5,20
Q5T3I0,GPATCH4,114 / 716,2.6,14
Q96SY0,INTS14,5 / 716,1,1
O15164,TRIM24,59 / 716,2.2,8
P78316,NOP14,46 / 716,2.8,11
Q8N8A6,DDX51,18 / 716,1.7,6
Q9UKX7,NUP50,175 / 716,7.4,46
P35270,SPR,10 / 716,1.7,5
Q6NZY4,ZCCHC8,138 / 716,9,50
Q9Y281,CFL2,392 / 716,3.8,38
Q9UBD5,ORC3,85 / 716,2.5,10
P67775,PPP2CA,193 / 716,2.3,9
P62714,PPP2CB,193 / 716,2.2,9
Q8N3R9,MPP5,6 / 716,3,10
Q8N7H5,PAF1,131 / 716,5,44
O75717,WDHD1,107 / 716,5.4,52
Q9NUQ3,TXLNG,51 / 716,1.3,4
O60716,CTNND1,99 / 716,4,24
Q8NEJ9,NGDN,36 / 716,1.6,4
Q9BXY0,MAK16,23 / 716,2,5
Q9ULR0,ISY1,57 / 716,3.3,17
Q02241,KIF23,136 / 716,5.2,62
Q5C9Z4,NOM1,39 / 716,1.2,4
Q6PL18,ATAD2,29 / 716,5.1,32
Q6RFH5,WDR74,11 / 716,1.5,3
O60870,KIN,9 / 716,1.8,3
Q96P11,NSUN5,12 / 716,2.4,7
Q9NQT5,EXOSC3,137 / 716,1.8,9
Q9BRJ6,C7ORF50,62 / 716,2,6
Q9BRT6,LLPH,43 / 716,2.3,17
Q8N5F7,NKAP,125 / 716,3.6,14
Q16527,CSRP2,217 / 716,3.9,35
A8CG34,POM121C,76 / 716,1.9,12
Q96ST3,SIN3A,147 / 716,10.1,66
P17096,HMGA1,174 / 716,3.6,19
Q8WXA9,SREK1,147 / 716,4.2,36
Q96A65,EXOC4,112 / 716,5.6,22
P98179,RBM3,176 / 716,5.4,31
Q9NWT1,PAK1IP1,23 / 716,3,8
Q9UPT8,ZC3H4,134 / 716,6.9,70
Q96SB8,SMC6,6 / 716,1.8,5
P13861,PRKAR2A,140 / 716,2.3,9
Q92917,GPKOW,107 / 716,3.6,29
O95071,UBR5,44 / 716,2.4,24
Q9Y333,LSM2,75 / 716,2.2,7
P67936,TPM4,311 / 716,4,32
P11216,PYGB,71 / 716,2.5,12
Q00537,CDK17,157 / 716,1.2,3
Q96T17,MAP7D2,51 / 716,1.4,3
P06732,CKM,39 / 716,1.5,9
Q9NRW1,RAB6B,137 / 716,1.9,8
P20340,RAB6A,143 / 716,2.3,10
